GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vehicle-rental-project,edu.najah.software.strategy,TruckLicenseValidationStrategy,0,17,0,4,0,5,0,4,0,2
vehicle-rental-project,edu.najah.software.strategy,DefaultRentalPricingStrategy,2,27,1,3,1,6,1,4,0,3
vehicle-rental-project,edu.najah.software.strategy,DurationValidationStrategy,0,20,0,4,0,6,0,4,0,2
vehicle-rental-project,edu.najah.software.strategy,MotorcycleAgeValidationStrategy,0,16,0,4,0,5,0,4,0,2
vehicle-rental-project,edu.najah.software.strategy,ElectricVehicleBatteryValidationStrategy,0,22,0,4,0,7,0,4,0,2
vehicle-rental-project,edu.najah.software.model,Car,0,11,0,0,0,3,0,2,0,2
vehicle-rental-project,edu.najah.software.model,Van,0,11,0,0,0,3,0,2,0,2
vehicle-rental-project,edu.najah.software.model,Manager,0,15,0,0,0,6,0,3,0,3
vehicle-rental-project,edu.najah.software.model,Motorcycle,0,11,0,0,0,3,0,2,0,2
vehicle-rental-project,edu.najah.software.model,RentalRecord,0,63,0,0,0,24,0,12,0,12
vehicle-rental-project,edu.najah.software.model,Vehicle,0,43,0,0,0,16,0,8,0,8
vehicle-rental-project,edu.najah.software.model,Customer,0,39,0,0,0,14,0,7,0,7
vehicle-rental-project,edu.najah.software.model,Truck,0,11,0,0,0,3,0,2,0,2
vehicle-rental-project,edu.najah.software.model,ElectricVehicle,4,17,0,0,2,5,1,3,1,3
vehicle-rental-project,edu.najah.software.service,RentalService,44,334,3,21,3,74,9,14,6,5
vehicle-rental-project,edu.najah.software.service,CatalogService,0,34,0,0,0,12,0,4,0,4
vehicle-rental-project,edu.najah.software.service,EmailNotificationService,162,0,14,0,47,0,16,0,9,0
vehicle-rental-project,edu.najah.software.service,SystemDateTimeService,7,0,0,0,3,0,3,0,3,0
vehicle-rental-project,edu.najah.software.service,AuthenticationService,0,57,0,8,0,18,0,10,0,6
vehicle-rental-project,edu.najah.software.repository,FileVehicleRepository,38,377,8,18,12,73,10,16,3,8
vehicle-rental-project,edu.najah.software.repository,FileCustomerRepository,16,242,7,9,7,53,7,10,1,8
vehicle-rental-project,edu.najah.software.repository,FileUserRepository,13,158,5,9,6,38,5,11,1,8
vehicle-rental-project,edu.najah.software.repository,FileRentalRepository,8,216,2,12,6,54,3,12,1,7
vehicle-rental-project,edu.najah.software.exception,AuthenticationException,0,4,0,0,0,2,0,1,0,1
vehicle-rental-project,edu.najah.software.exception,RentalException,0,4,0,0,0,2,0,1,0,1
